Datum,Start,Einde,Plaats,Categorie,Omschrijving,Issue #,Opmerkingen
14/02/17,08:15,10:15,Campus,Projectwerk,inleiding + SCRUM,,
14/02/17,10:30,12:30,Campus,Projectwerk,inleiding + SCRUM,,
14/02/17,13:30,15:30,Extern,Projectwerk,Setup Slack, Sketchboard, Webstorm IDE
14/02/17,19:00,20:30,Extern,Projectwerk,Setup Slack, Github en github slack integratie,
15/02/17,19:00,21:30,Extern,Projectwerk,Sketchboard product backlog voor sessie van 16/02,,
16/02/17,13:30,15:30,Campus,Projectwerk,Contactmoment,,
16/02/17,15:45,17:45,Campus,Communicatie,Sessie 1 presenteren,,
16/02/17,19:30,20:30,Extern,Projectwerk,Ontwerp architectuur & VM Java test,,
19/02/17,12:00,12:45,Extern,Projectwerk,Start JSF applicatie (+PrimeFaces & Bootsfaces),,
19/02/17,13:30,15:15,Extern,Projectwerk,JSF applicatie vervolg + bouw github structuur,,
20/02/17,10:00,12:00,Extern,Projectwerk,Start Directory Guard + initial commit + gitignore,,
20/02/17,22:00,23:56,Extern,Projectwerk,Github stappenplan voorbereiden voor teamleden,,
21/02/17,08:15,10:15,Campus,Projectwerk,Ontmoeting klant + bespreken product backlog,,
21/02/17,10:30,12:30,Campus,Projectwerk,Vervolg bouw github structuur + unwanted tracking probleem oplossen met coach,,
21/02/17,19:15,20:30,Extern,Projectwerk,Start Converter + initial commit + afwerken github structuur,,
23/02/17,13:30,15:45,Campus,Projectwerk,Product & sprint backlog + designkeuzes + uitleg over gebruik van github aan team,,
23/02/17,15:50,17:15,Campus,Projectwerk,Bezoek Hermes job- & stage-event,,
26/02/17,20:00,21:30,Extern,Projectwerk,"Inhoud van issues opvolgen nieuwe commits & code doornemen korte git fix",,
27/02/17,09:45,13:00,Extern,Projectwerk,Gedetailleerde sequentiediagram voor DirectoryGuard + enkele kleine aanpassingen aan web-app,,
27/02/17,13:30,15:00,Extern,Projectwerk,Github handleiding,,
27/02/17,19:30,21:45,Extern,Projectwerk,Component diagram voor het geheel,,
28/02/17,08:15,12:30,Campus,Projectwerk,opvolgen issues & uitleg bij diagrammen geven,,
01/03/17,10:00,11:30,Extern,Projectwerk,opzoekingen voor git & glassfish server,,
01/03/17,20:00,22:30,Extern,Projectwerk,jsf i18n issue implementeren & debuggen,,
01/03/17,23:15,23:59,Extern,Projectwerk,jsf i18n primefaces & nettere code,,
02/03/17,00:00,00:30,Extern,Projectwerk,jsf fix jquery outputscript not found,,
02/03/17,10:30,12:00,Extern,Projectwerk,tonen merge conflict fix & oplossen jsf js rendering,,
02/03/17,12:30,15:30,Campus,Projectwerk,brainstorm detail ontwerp logging converter & opdrachtgever mailen,,
02/03/17,15:45,18:00,Campus,Communicatie,Sessie 2 schrijven,,
02/03/17,20:00,21:30,Extern,Projectwerk,pull request i18n & nieuwe sectie github manual,,
02/03/17,23:00,23:59,Extern,Projectwerk,testen van webapplicatie + stabiliteitsprobleem onderzoeken,,
03/03/17,00:00,01:30,Extern,Projectwerk,stabiliteitsprobleem oplossen in webapp,,
05/03/17,14:00,16:00,Extern,Projectwerk,Glassfish server documentatie lezen,,
06/03/17,17:15,18:45,Extern,Projectwerk,Github merge flow oplossing bedenken en testen,,
07/03/17,08:15,12:30,Campus,Projectwerk,Code fixes in verschillende projectbranches,,
07/03/17,16:00,18:30,Extern,Projectwerk,File upload meer parameters + jQuery breakage Primefaces,,
07/03/17,19:30,22:30,Extern,Projectwerk,Webslides webapp i18n issue (jQuery & primefaces),,
07/03/17,23:30,23:59,Extern,Projectwerk,Github restart om merging issue naar master te fixen,,
08/03/17,00:00,01:30,Extern,Projectwerk,Github restart om merging issue naar master te fixen afwerken + testen,,
08/03/17,12:00,15:00,Extern,Projectwerk,"Github wiki, issues status updaten / sluiten, diagrammen aanpassen",,
10/03/17,19:00,21:00,Extern,Projectwerk,Opzoekingen fileupload & download in primefaces ,,
11/03/17,10:00,12:30,Extern,Communicatie,Opendeurdag bachelorproef,,
12/03/17,17:00,18:30,Extern,Projectwerk,Opvolgen codebase (code analyseren),,
12/03/17,20:00,21:30,Extern,Projectwerk,Vervolg opvolgen codebase + up-to-date brengen van diagrammen,,
13/03/17,08:15,10:30,Extern,Projectwerk,JSF i18n bug + file up/download,,
13/03/17,11:00,13:00,Extern,Projectwerk,Github PRs en deployment op Glassfish server,,
13/03/17,13:30,16:00,Extern,Projectwerk,Documentatie verbeteren en aanvullen op Overleaf,,
14/03/17,08:15,12:15,Campus,Projectwerk,Meeting 2 klant keuzes redesign front-end brainstorm writer,,
15/03/17,10:00,12:00,Extern,Projectwerk,Front-end websockets vs servlets & dropzone.js,,
16/03/17,13:30,17:30,Campus,Projectwerk,Writer definitieve keuze product backlog -> sprint backlog & issues,,
