Datum,Start,Einde,Plaats,Categorie,Omschrijfing,Issue #,Opmerkingen
14/02/17,08:30,12:30,intern,Projectwerk,les1 + uitleg,,
16/02/17,13:30,15:30,intern,Projectwerk,documenteren + groepsdiscussie,,
16/02/17,15:45,17:45,intern,Communicatie,pollefliet les,,
21/02/17,08:15,12:30,intern,Projectwerk,samenkomst met de klant,,	
23/02/17,13:30,15:30,intern,Projectwerk,git bij iedereen configureren,,
23/02/17,15:30,19:30,extern,Projectwerk, Logger implementatie sprint 1,,
27/02/17,16:00,17:30, extern,Projectwerk, Layout webpage,,
28/02/17,08:15,12:30,intern,Projectwerk, samenkomst + maken zipper,,
28/02/17,18:00,19:30,extern,Projectwerk, Multithreading fix logger opzoekwerk,,
01/03/17,14:00,16:00,extern,Projectwerk, Implementatie multithreading fix,,
01/03/17,15:00,17:00,extern,Projectwerk, Analyse Apache POI,,
03/02/17,13:30,15:45,intern,Projectwerk, samenkomst + fixes logger,,
03/02/17,15:45,18:00,intern,Projectwerk, communicatie,,
03/02/17,18:15,21:00,extern,Projectwerk, codetesten Apache POI + Commons CLI,,
03/03/17,10:30,12:00,extern,Projectwerk, implementatie commons cli en Output,,
04/03/17,20:00,23:59,extern,Projectwerk, testen Apache POI in converter,,
05/03/17,09:30,10:30,extern,Projectwerk, documenteren testen git commit,,
07/03/17,08:15,12:30,intern,Projectwerk, samenkomst + fixes Apache POI,,
08/03/17,11:00,12:00,extern,Projectwerk, zoeken oorzaak bug Apache POI,,
09/03/17,11:00,11:30,extern,Projectwerk, unit test webconv,,
09/03/17,13:30,17:45,intern,Projectwerk, samenkomst,,
11/03/17,10:00,12:30,intern,Projectwerk, samenkomst,,
14/03/17,08:15,12:30,intern,Projectwerk, samenkomst,,
16/03/17,13:30,17:45,intern,Projectwerk, samenkomst,,
19/03/17,14:30,18:00,extern,Projectwerk, andere manier inlezen ppt & changes datastructure,,
21/03/17, 08:15,10:30,intern,Projectwerk, samenkomst,,
22/03/17, 14:00,21:00,extern,Projectwerk, complete rewrite conversion lib,,
23/03/17, 13:30,18:00,intern,Projectwerk, samenkomst,,
28/03/17, 08:15,10:30,intern,Projectwerk, samenkomst,,
28/03/17, 08:15,10:30,intern,Projectwerk, presentatie,,
30/03/17, 13:30,18:00,intern,Projectwerk, samenkomst,,
06/04/17, 09;00,12:00,extern,Projectwerk, db setup +opzoeken libraries + ...,,
06/04/17, 14;00,22:00,extern,Projectwerk, initial version db dao,,
07/04/17, 17;00,20:00,extern,Projectwerk, blob upgrade + documenteren,,
07/04/17, 21;30,23:00,extern,Projectwerk, uml + code verbeteren,,
14/04/17, 11:00,15:45,extern,Projectwerk, fixes en additions pptx converter,,
