Datum,Start,Einde,Plaats,Categorie,Omschrijving,Issue #,Opmerkingen
14/02/17,08:30,12:30,Campus,Projectwerk,presentatie uitleg,,
16/02/17,10:20,12:20,Extern,Projectwerk,sketchboard backlog aanpassen/aanvullen + lezen richtlijnen,,
16/02/17,13:30,15:45,Campus,Projectwerk,overleg backlog + opzoekwerk,,
16/02/17,15:45,17:45,Campus,Communicatie,presentatie pollefliet,,
16/02/17,20:00,20:15,Extern,Projectwerk,voorbeelden/documentatie library zoeken,,
20/02/17,11:15,11:35,Extern,Projectwerk,Git + voorstellen libraries anderen bekijken,,
20/02/17,18:10,18:50,Extern,Projectwerk,Literatuur OOXML-standaard,,
21/02/17,08:15,10:50,Campus,Projectwerk,overleg met klant + bespreken implementatie,,
21/02/17,11:15,12:10,Extern,Projectwerk,PDF libraries opzoeken,,
22/02/17,08:15,10:10,Extern,Projectwerk,libraries + voorbeeldslides structuur html bekijken,,
22/02/17,18:00,18:50,Extern,Projectwerk,overzicht maken html-structuur,,
22/02/17,19:30,21:25,Extern,Projectwerk,idem,,
23/02/17,10:35,12:25,Extern,Projectwerk,idem,,
23/02/17,13:00,13:25,Extern,Communicatie,presentatie communicatie,,
23/02/17,13:30,15:45,Campus,Projectwerk,overleg + opstellen sprint backlog,,
23/02/17,15:45,18:00,Campus,Projectwerk,stagebeurs,,
23/02/17,18:15,18:45,Extern,Projectwerk,command line input convertor,11,
23/02/17,19:20,21:45,Extern,Projectwerk,verwerken input,13,
24/02/17,17:10,17:50,Extern,Projectwerk,logboek omzetten naar juiste formaat,,
25/02/17,10:00,12:20,Extern,Projectwerk,command line output parameter toegevoegd,12,
25/02/17,13:55,16:25,Extern,Projectwerk,dummy output,12,
26/02/17,14:40,15:25,Extern,Projectwerk,koppeling backend directory guard met converter,9,
26/02/17,15:55,16:45,Extern,Projectwerk,koppeling backend directory guard met converter,9,
26/02/17,17:10,17:40,Extern,Projectwerk,herstellen git + herbekijken code issue 9,9,
27/02/17,17:45,18:40,Extern,Projectwerk,info zoeken klasse Process + output uitschrijven,9,
28/02/17,08:15,12:20,Campus,Projectwerk,overleg groep,,
28/02/17,17:05,18:20,Extern,Projectwerk,process vervangen door thread,23,
28/02/17,18:20,18:55,Extern,Projectwerk,probleem logging en multithreading,,
28/02/17,19:25,20:35,Extern,Projectwerk,oplossing bedenken logprobleem/nieuw ontwerp logger maken,,
01/03/17,08:15,09:05,Extern,Projectwerk,implementation thread,23,
01/03/17,09:05,09:45,Extern,Projectwerk,bugfix multiple call to converter,22,
01/03/17,19:45,20:40,Extern,Projectwerk,code bekijken + analyse logging met multithreading,26,
02/03/17,10:30,11:05,Extern,Projectwerk,technisch overleg,,
02/03/17,11:05,12:00,Extern,Projectwerk,overzicht structuur html afwerken,,
02/03/17,13:30,15:45,Campus,Projectwerk,overleg + implementatie output converter,28,
02/03/17,15:45,17:45,Campus,Communicatie,les Pollefliet,,
03/03/17,15:00,16:10,Extern,Projectwerk,oplossen merge fouten (uiteindelijk terug naar vorige versie),,
03/03/17,16:10,18:00,Extern,Projectwerk,logging converter volledig aanpassen,26,
04/03/17,13:50,14:35,Extern,Projectwerk,output en logging in converter + communicatie met directory guard,24,samen met issue 25 en 28
04/03/17,15:50,17:30,Extern,Projectwerk,output en logging in converter + communicatie met directory guard,25,samen met issue 24 en 28
04/03/17,19:20,20:55,Extern,Projectwerk,output en logging in converter + communicatie met directory guard,28,samen met issue 24 en 25
04/03/17,22:35,23:35,Extern,Projectwerk,output en logging in converter + communicatie met directory guard,28,samen met issue 24 en 25
04/03/17,23:35,23:59,Extern,Projectwerk,testen en git branches mergen/updaten,,
05/03/17,00:00,00:50,Extern,Projectwerk,testen en git branches mergen/updaten + readme convertor updaten,,
05/03/17,13:45,14:15,Extern,Projectwerk,bugfix,30,
05/03/17,14:30,15:25,Extern,Projectwerk,bugfix + schrijven unit test,30,
02/03/17,15:35,16:10,Extern,Projectwerk,logger testen in converter + toevoegen aan directory guard,,
02/03/17,17:05,17:30,Extern,Projectwerk,bugfix,31,
06/03/17,17:00,18:10,Extern,Projectwerk,code bekijken PPTconverter en factory + testen in converter,,
07/03/17,08:15,12:00,Campus,Projectwerk,groepsoverleg,,
07/03/17,17:15,18:35,Extern,Projectwerk,properties file converter,38,
07/03/17,19:20,20:05,Extern,Projectwerk,code bekijken + schrijven handleiding converter,33,
07/03/17,22:05,23:25,Extern,Projectwerk,code bekijken + schrijven handleiding converter,33,
